,id,cost,link,name,name_long,qty,store,shipping
139,458387,28.0,https://luckshack.co.za/index.php?route=product/product&product_id=98160,Mishra's Bauble,Mishra's Bauble,7,Luckshack,90
140,36160,69.0,https://luckshack.co.za/index.php?route=product/product&product_id=46181,Tolaria West,Tolaria West,2,Luckshack,90
141,13606,116.0,https://luckshack.co.za/index.php?route=product/product&product_id=83409,Consider,Consider,6,Luckshack,90
142,24388,160.0,https://luckshack.co.za/index.php?route=product/product&product_id=62628,Leyline of Sanctity,Leyline of Sanctity,2,Luckshack,90
143,530641,215.0,https://luckshack.co.za/index.php?route=product/product&product_id=53374,Pact of Negation,Pact of Negation,1,Luckshack,90
144,423221,248.0,https://luckshack.co.za/index.php?route=product/product&product_id=61393,Lotus Field,Lotus Field,1,Luckshack,90
145,38287,295.0,https://luckshack.co.za/index.php?route=product/product&product_id=63554,Watery Grave,Watery Grave,2,Luckshack,90
146,390330,355.0,https://luckshack.co.za/index.php?route=product/product&product_id=63550,Steam Vents,Steam Vents,1,Luckshack,90
147,502594,774.0,https://luckshack.co.za/index.php?route=product/product&product_id=39694,Polluted Delta,Polluted Delta,2,Luckshack,90
148,18733,1321.0,https://luckshack.co.za/index.php?route=product/product&product_id=53222,Flooded Strand,Flooded Strand,1,Luckshack,90
149,56704,3.2,https://www.battlewizards.co.za/grapeshot-time-spiral-remastered/,Grapeshot,Grapeshot - Time Spiral Remastered,3,Battle Wizards,90
150,52229,3.2,https://www.battlewizards.co.za/empty-the-warrens-time-spiral-remastered/,Empty the Warrens,Empty the Warrens - Time Spiral Remastered,4,Battle Wizards,90
151,360821,4.0,https://www.battlewizards.co.za/spell-pierce-double-masters-2022/,Spell Pierce,Spell Pierce - Double Masters 2022,1,Battle Wizards,90
152,360824,4.0,https://www.battlewizards.co.za/spell-pierce-kamigawa-neon-dynasty-1/,Spell Pierce,Spell Pierce -  Kamigawa: Neon Dynasty,6,Battle Wizards,90
153,506298,4.0,https://www.battlewizards.co.za/empty-the-warrens-dominaria-remastered/,Empty the Warrens,Empty the Warrens - Dominaria Remastered,10,Battle Wizards,90
154,97277,4.8,https://www.battlewizards.co.za/otherworldly-gaze-innistrad-midnight-hunt/,Otherworldly Gaze,Otherworldly Gaze - Innistrad: Midnight Hunt,2,Battle Wizards,90
155,506299,4.8,https://www.battlewizards.co.za/empty-the-warrens-dominaria-remastered-retro/,Empty the Warrens,Empty the Warrens - Dominaria Remastered: Retro,3,Battle Wizards,90
156,505864,6.4,https://www.battlewizards.co.za/grapeshot-dominaria-remastered/,Grapeshot,Grapeshot - Dominaria Remastered,10,Battle Wizards,90
157,52227,6.4,https://www.battlewizards.co.za/empty-the-warrens-time-spiral/,Empty the Warrens,Empty the Warrens - Time Spiral,9,Battle Wizards,90
158,347371,6.4,https://www.battlewizards.co.za/empty-the-warrens-duel-decks-mind-vs-might/,Empty the Warrens,Empty the Warrens - Duel Decks: Mind vs. Might,2,Battle Wizards,90
159,56703,7.2,https://www.battlewizards.co.za/grapeshot-modern-masters/,Grapeshot,Grapeshot - Modern Masters,3,Battle Wizards,90
160,354096,7.2,https://www.battlewizards.co.za/grapeshot-duel-decks-mind-vs-might/,Grapeshot,Grapeshot - Duel Decks: Mind vs. Might,2,Battle Wizards,90
161,52226,7.2,https://www.battlewizards.co.za/empty-the-warrens-modern-masters/,Empty the Warrens,Empty the Warrens - Modern Masters,3,Battle Wizards,90
162,360825,12.0,https://www.battlewizards.co.za/spell-pierce-kamigawa-neon-dynasty-foil/,Spell Pierce,Spell Pierce -  Kamigawa: Neon Dynasty (Foil),1,Battle Wizards,90
163,360823,14.4,https://www.battlewizards.co.za/spell-pierce-double-masters-2022-borderless/,Spell Pierce,Spell Pierce - Double Masters 2022: Borderless,2,Battle Wizards,90
164,40752,16.0,https://www.battlewizards.co.za/aeve-progenitor-ooze-modern-horizons-2/,"Aeve, Progenitor Ooze","Aeve, Progenitor Ooze - Modern Horizons 2",4,Battle Wizards,90
165,97278,25.6,https://www.battlewizards.co.za/otherworldly-gaze-innistrad-midnight-hunt-f/,Otherworldly Gaze,Otherworldly Gaze - Innistrad: Midnight Hunt [F],2,Battle Wizards,90
166,52293,38.4,https://www.battlewizards.co.za/spell-pierce-ixalan-f/,Spell Pierce,Spell Pierce - Ixalan [F],1,Battle Wizards,90
167,96263,65.0,https://www.battlewizards.co.za/suspend-modern-horizons-2-prerelease-promos-foil/,Suspend,Suspend - Modern Horizons 2: Prerelease Promos Foil,1,Battle Wizards,90
168,400044,575.0,https://www.battlewizards.co.za/scalding-tarn-modern-horizons-2-f/,Scalding Tarn,Scalding Tarn - Modern Horizons 2 [F],1,Battle Wizards,90
169,52294,1853.0,https://www.battlewizards.co.za/spell-pierce-amonkhet-invocations-f/,Spell Pierce,Spell Pierce - Amonkhet Invocations [F],1,Battle Wizards,90
170,431841,5.0,https://tcgtrader.net/products/spell-pierce-ixalan,Spell Pierce,Spell Pierce [Ixalan] - Near Mint,38,TCG Trader,90
171,445655,5.0,https://tcgtrader.net/products/otherworldly-gaze-innistrad-midnight-hunt,Otherworldly Gaze,Otherworldly Gaze [Innistrad: Midnight Hunt] - Near Mint,1,TCG Trader,90
172,494264,5.0,https://tcgtrader.net/products/empty-the-warrens-time-spiral-remastered,Empty the Warrens,Empty the Warrens [Time Spiral Remastered] - Near Mint,1,TCG Trader,90
173,445656,29.0,https://tcgtrader.net/products/otherworldly-gaze-innistrad-midnight-hunt,Otherworldly Gaze,Otherworldly Gaze [Innistrad: Midnight Hunt] - Near Mint Foil,1,TCG Trader,90
174,430855,45.0,https://tcgtrader.net/products/consider-innistrad-midnight-hunt,Consider,Consider [Innistrad: Midnight Hunt] - Near Mint Foil,1,TCG Trader,90
175,433702,58.0,https://tcgtrader.net/products/wishclaw-talisman-throne-of-eldraine,Wishclaw Talisman,Wishclaw Talisman [Throne of Eldraine] - Near Mint,1,TCG Trader,90
176,432648,92.0,https://tcgtrader.net/products/leyline-of-sanctity-core-set-2020,Leyline of Sanctity,Leyline of Sanctity [Core Set 2020] - Near Mint,2,TCG Trader,90
177,493457,87.0,https://www.swordandboard.co.za/products/leyline-of-sanctity-core-set-2020,Leyline of Sanctity,Leyline of Sanctity [Core Set 2020] - Near Mint,1,Sword & Board,90
