id,cost,link,name,name_long,qty,store,shipping
395324,1995.0,https://shop.dracoti.co.za/product/polluted-delta-zendikar-expeditions-foil/,Polluted Delta,Polluted Delta (Zendikar Expeditions) (FOIL),2,Dracoti,90
508242,472.0,https://luckshack.co.za/index.php?route=product/product&product_id=48929,Scalding Tarn,Scalding Tarn,1,Luckshack,90
508241,480.0,https://store.topdecksa.co.za/products/scalding-tarn?_pos=1&_psq=Scalding%20Tarn&_ss=e&_v=1.0,Scalding Tarn,Scalding Tarn - Zendikar,1,TopDeck,90
400044,559.0,https://www.battlewizards.co.za/scalding-tarn-modern-horizons-2-f/,Scalding Tarn,Scalding Tarn - Modern Horizons 2 [F],1,Battle Wizards,90
422071,755.0,https://shop.dracoti.co.za/product/scalding-tarn-zendikar-expeditions/,Scalding Tarn,Scalding Tarn (Zendikar Expeditions),1,Dracoti,90
158614,810.0,https://shop.dracoti.co.za/product/scalding-tarn-foil-2/,Scalding Tarn,Scalding Tarn (Extended Art) (FOIL),3,Dracoti,90
506850,815.0,https://store.topdecksa.co.za/products/scalding-tarn?_pos=1&_psq=Scalding%20Tarn&_ss=e&_v=1.0,Scalding Tarn,Scalding Tarn - Zendikar Rising Expeditions {M} #7,1,TopDeck,90
386083,865.0,https://shop.dracoti.co.za/product/scalding-tarn-foil-etched-retro-frame/,Scalding Tarn,Scalding Tarn (FOIL-Etched Retro Frame),1,Dracoti,90
158615,875.0,https://shop.dracoti.co.za/product/scalding-tarn-retro-frame/,Scalding Tarn,Scalding Tarn (Retro Frame),3,Dracoti,90
446522,1750.0,https://shop.dracoti.co.za/product/scalding-tarn-zendikar-expeditions-foil/,Scalding Tarn,Scalding Tarn (Zendikar Expeditions) (FOIL),3,Dracoti,90
360807,8.0,https://store.topdecksa.co.za/products/spell-pierce?_pos=1&_psq=Spell%20Pierce&_ss=e&_v=1.0,Spell Pierce,Spell Pierce - Kamigawa: Neon Dynasty {C} #80,14,TopDeck,90
153295,10.0,https://d20battleground.co.za/products/spell-pierce-zendikar,Spell Pierce,Spell Pierce [Zendikar] - Near Mint,13,D20Battleground,90
33653,10.0,https://luckshack.co.za/index.php?route=product/product&product_id=86706,Spell Pierce,Spell Pierce,1,Luckshack,90
360808,21.0,https://store.topdecksa.co.za/products/spell-pierce?_pos=1&_psq=Spell%20Pierce&_ss=e&_v=1.0,Spell Pierce,Spell Pierce - Kamigawa: Neon Dynasty {C} #80 (Foil),5,TopDeck,90
52293,60.0,https://www.battlewizards.co.za/spell-pierce-ixalan-f/,Spell Pierce,Spell Pierce - Ixalan [F],1,Battle Wizards,90
238155,291.0,https://d20battleground.co.za/products/spell-pierce-zendikar,Spell Pierce,Spell Pierce [Zendikar] - Near Mint Foil,1,D20Battleground,90
360804,305.0,https://store.topdecksa.co.za/products/spell-pierce?_pos=1&_psq=Spell%20Pierce&_ss=e&_v=1.0,Spell Pierce,Spell Pierce - Zendikar (Foil),5,TopDeck,90
52294,1790.0,https://www.battlewizards.co.za/spell-pierce-amonkhet-invocations-f/,Spell Pierce,Spell Pierce - Amonkhet Invocations [F],1,Battle Wizards,90
390330,345.0,https://luckshack.co.za/index.php?route=product/product&product_id=63550,Steam Vents,Steam Vents,1,Luckshack,90
144145,375.0,https://shop.dracoti.co.za/product/steam-vents/,Steam Vents,Steam Vents,3,Dracoti,90
